#Encoding of BACnet Object Types;;;
#Code;Object Type;;
"0";"AnalogInput";;
"1";"AnalogOutput";;
"2";"AnalogValue";;
"3";"BinaryInput";;
"4";"BinaryOutput";;
"5";"BinaryValue";;
"6";"Calendar";;
"7";"Command";;
"8";"Device";;
"9";"Event_Enrollment";;
"10";"File";;
"11";"Group";;
"12";"Loop";;
"13";"MultistateInput";;
"14";"MultistateOutput";;
"15";"NotificationClass";;
"16";"Program";;
"17";"Schedule";;
"18";"Averaging";;
"19";"MultistateValue";;
"20";"Trendlog";;
"21";"LifeSafetyPoint";;
"22";"LifeSafetyZone";;
"23";"Accumulator";;
"24";"PulseConverter";;
"25";"Eventlog";;
"26";"GlobalGroup";;
"27";"TrendlogMultiple";;
"28";"LoadControl";;
"29";"StructuredView";;
"30";"AccessDoor";;
"32";"AccessCredential";;
"33";"AccessPoint";;
"34";"AccessRights";;
"35";"AccessUser";;
"36";"AccessZone";;
"37";"CredentialDataInput";;
"38";"NetworkSecurity";;
"39";"BitstringValue";;
"40";"CharacterstringValue";;
"41";"DatePatternValue";;
"42";"DateValue";;
"43";"DatetimePatternValue";;
"44";"DatetimeValue";;
"45";"IntegerValue";;
"46";"LargeAnalogValue";;
"47";"OctetstringValue";;
"48";"PositiveIntegerValue";;
"49";"TimePatternValue";;
"50";"TimeValue";;
"51";"NotificationForwarder";;
"52";"AlertEnrollment";;
"53";"Channel";;
"54";"LightingOutput";;
"128";"ProprietaryMin";;
"1023";"ProprietaryMax";;
